"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn60958058","ISPY2_726091.nii.gz","1","application/gzip","5579","3505996","1718279003761","3505996","1718279003761","syn60957263","https://www.synapse.org/#!Synapse:syn60958058.1","40fd8084fdaf73ce0d31f5adc9a0e193"
"syn60957413","ISPY1_1234.nii.gz","1","application/gzip","7146","3505996","1718277817898","3505996","1718277817898","syn60957263","https://www.synapse.org/#!Synapse:syn60957413.1","7dae421920a2d838ec7765cdc4276b83"
"syn60957404","NACT_15.nii.gz","1","application/gzip","7379","3505996","1718277806006","3505996","1718277806006","syn60957263","https://www.synapse.org/#!Synapse:syn60957404.1","87aafb99e5a31d2a406abc5d48af3459"
"syn60957448","ISPY1_1180.nii.gz","1","application/gzip","7502","3505996","1718277843293","3505996","1718277843293","syn60957263","https://www.synapse.org/#!Synapse:syn60957448.1","22394d4fa55986becbcf7e29ef832ee9"
"syn60957308","ISPY1_1188.nii.gz","1","application/gzip","7542","3505996","1718277737890","3505996","1718277737890","syn60957263","https://www.synapse.org/#!Synapse:syn60957308.1","5a222a7cd1bf60a4626750e2edca3dd0"
"syn60957441","ISPY1_1192.nii.gz","1","application/gzip","7675","3505996","1718277838239","3505996","1718277838239","syn60957263","https://www.synapse.org/#!Synapse:syn60957441.1","d0a6f0e5cbd1fa0ead6e972e9cbb0723"
"syn60957425","ISPY1_1217.nii.gz","1","application/gzip","7678","3505996","1718277826676","3505996","1718277826676","syn60957263","https://www.synapse.org/#!Synapse:syn60957425.1","45188af7cc9161b33b867c36f682a047"
"syn60957325","ISPY1_1107.nii.gz","1","application/gzip","7960","3505996","1718277750288","3505996","1718277750288","syn60957263","https://www.synapse.org/#!Synapse:syn60957325.1","b01c08d0152d1249029570b791488e98"
"syn60957464","ISPY1_1152.nii.gz","1","application/gzip","8038","3505996","1718277860403","3505996","1718277860403","syn60957263","https://www.synapse.org/#!Synapse:syn60957464.1","a5616ca44672124221b81b71b94592d2"
"syn60957506","ISPY1_1058.nii.gz","1","application/gzip","8079","3505996","1718277890767","3505996","1718277890767","syn60957263","https://www.synapse.org/#!Synapse:syn60957506.1","438335e7f86586906caa999eaf3995bf"
"syn60957477","ISPY1_1130.nii.gz","1","application/gzip","8080","3505996","1718277869772","3505996","1718277869772","syn60957263","https://www.synapse.org/#!Synapse:syn60957477.1","c0760a6184aceb4bec24873fd1b70eb9"
"syn60957453","ISPY1_1171.nii.gz","1","application/gzip","8086","3505996","1718277852368","3505996","1718277852368","syn60957263","https://www.synapse.org/#!Synapse:syn60957453.1","0cca3ddae6a1393b123c875b8d809e05"
"syn60957429","ISPY1_1209.nii.gz","1","application/gzip","8096","3505996","1718277829591","3505996","1718277829591","syn60957263","https://www.synapse.org/#!Synapse:syn60957429.1","f0f5549a047954b4f0c2df9a33719b38"
"syn60957442","ISPY1_1191.nii.gz","1","application/gzip","8140","3505996","1718277838952","3505996","1718277838952","syn60957263","https://www.synapse.org/#!Synapse:syn60957442.1","f53bc4a23dafaa8ee8e654545d68ecee"
"syn60957348","ISPY1_1008.nii.gz","1","application/gzip","8179","3505996","1718277767070","3505996","1718277767070","syn60957263","https://www.synapse.org/#!Synapse:syn60957348.1","9b7512125f792d49cc5c1b59d0ed2853"
"syn60957460","ISPY1_1158.nii.gz","1","application/gzip","8189","3505996","1718277857458","3505996","1718277857458","syn60957263","https://www.synapse.org/#!Synapse:syn60957460.1","caffd98d6992126f76644d754bcf2dca"
"syn60957419","ISPY1_1226.nii.gz","1","application/gzip","8249","3505996","1718277822300","3505996","1718277822300","syn60957263","https://www.synapse.org/#!Synapse:syn60957419.1","3c9953c889ef9c270737034b6994d670"
"syn60957479","ISPY1_1128.nii.gz","1","application/gzip","8278","3505996","1718277871225","3505996","1718277871225","syn60957263","https://www.synapse.org/#!Synapse:syn60957479.1","ed498c0df3b05d2f246e477729a33a93"
"syn60957409","NACT_03.nii.gz","1","application/gzip","8355","3505996","1718277815033","3505996","1718277815033","syn60957263","https://www.synapse.org/#!Synapse:syn60957409.1","b3ef9138e1d9af85bf2db35d97821897"
"syn60957398","NACT_22.nii.gz","1","application/gzip","8363","3505996","1718277801739","3505996","1718277801739","syn60957263","https://www.synapse.org/#!Synapse:syn60957398.1","ef1ebb945cc869f5f64f6a756d00b453"
"syn60957387","NACT_40.nii.gz","1","application/gzip","8384","3505996","1718277793821","3505996","1718277793821","syn60957263","https://www.synapse.org/#!Synapse:syn60957387.1","17bcc86f25b13e9a9111dd190f8d51b0"
"syn60957305","ISPY1_1220.nii.gz","1","application/gzip","8388","3505996","1718277735694","3505996","1718277735694","syn60957263","https://www.synapse.org/#!Synapse:syn60957305.1","60b8afcfffdef6abf849140a71d2762c"
"syn60957346","ISPY1_1015.nii.gz","1","application/gzip","8392","3505996","1718277765647","3505996","1718277765647","syn60957263","https://www.synapse.org/#!Synapse:syn60957346.1","0672b9c8fc2097594f48496dfd0f9a47"
"syn60957457","ISPY1_1163.nii.gz","1","application/gzip","8404","3505996","1718277855275","3505996","1718277855275","syn60957263","https://www.synapse.org/#!Synapse:syn60957457.1","83b205189d04880c2292a1b68efc4cf0"
"syn60957285","NACT_46.nii.gz","1","application/gzip","8428","3505996","1718277721113","3505996","1718277721113","syn60957263","https://www.synapse.org/#!Synapse:syn60957285.1","45c9e78955447ff5cdf3321cbb175291"
"syn60957499","ISPY1_1074.nii.gz","1","application/gzip","8428","3505996","1718277885615","3505996","1718277885615","syn60957263","https://www.synapse.org/#!Synapse:syn60957499.1","66de18972fd855339bcf546e4409f409"
"syn60957497","ISPY1_1077.nii.gz","1","application/gzip","8443","3505996","1718277884154","3505996","1718277884154","syn60957263","https://www.synapse.org/#!Synapse:syn60957497.1","1aa1bbb86ebc66223e56e0c475cdef74"
"syn60957438","ISPY1_1196.nii.gz","1","application/gzip","8450","3505996","1718277836094","3505996","1718277836094","syn60957263","https://www.synapse.org/#!Synapse:syn60957438.1","43d4b6cdb477cde5c1520b231eb454c9"
"syn60957311","ISPY1_1177.nii.gz","1","application/gzip","8510","3505996","1718277740236","3505996","1718277740236","syn60957263","https://www.synapse.org/#!Synapse:syn60957311.1","8a5c3143319eab16c46a459eb033fc89"
