"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn60959466","ISPY1_1226.nii.gz","1","application/gzip","4193","3505996","1718280913178","3505996","1718280913178","syn60958853","https://www.synapse.org/#!Synapse:syn60959466.1","e13a76cc669fe0eb3344a309764d2dbe"
"syn60960272","ISPY1_1107.nii.gz","1","application/gzip","4217","3505996","1718282150124","3505996","1718282150124","syn60958853","https://www.synapse.org/#!Synapse:syn60960272.1","ff2c63c14ef8a531c6d2fb536f9ba837"
"syn60959828","ISPY1_1209.nii.gz","1","application/gzip","4312","3505996","1718281325057","3505996","1718281325057","syn60958853","https://www.synapse.org/#!Synapse:syn60959828.1","122ebd00dab0cf0e193ac80362588ac6"
"syn60959874","ISPY1_1196.nii.gz","1","application/gzip","4455","3505996","1718281382735","3505996","1718281382735","syn60958853","https://www.synapse.org/#!Synapse:syn60959874.1","1692b11de5966ec3abc132a2d11f4d59"
"syn60959082","ISPY1_1132.nii.gz","1","application/gzip","4538","3505996","1718280581433","3505996","1718280581433","syn60958853","https://www.synapse.org/#!Synapse:syn60959082.1","9e467640ffc3379ff4db5e38840e1c53"
"syn60960303","ISPY1_1002.nii.gz","1","application/gzip","4638","3505996","1718282212645","3505996","1718282212645","syn60958853","https://www.synapse.org/#!Synapse:syn60960303.1","3a864b42e659fec8fa73410114238ccc"
"syn60960299","ISPY1_1117.nii.gz","1","application/gzip","4643","3505996","1718282204851","3505996","1718282204851","syn60958853","https://www.synapse.org/#!Synapse:syn60960299.1","4f4b0f388535b048aee22ac225ce6bd5"
"syn60959278","NACT_26.nii.gz","1","application/gzip","4674","3505996","1718280751238","3505996","1718280751238","syn60958853","https://www.synapse.org/#!Synapse:syn60959278.1","b4764e341bbc284603870beabb316347"
"syn60959287","ISPY1_1189.nii.gz","1","application/gzip","4685","3505996","1718280757297","3505996","1718280757297","syn60958853","https://www.synapse.org/#!Synapse:syn60959287.1","c352d7d7d46c7e1cfeb4d2424d13f9a1"
"syn60960049","ISPY1_1135.nii.gz","1","application/gzip","4693","3505996","1718281721567","3505996","1718281721567","syn60958853","https://www.synapse.org/#!Synapse:syn60960049.1","f04f532766a67a567f73bac53bc5fddc"
"syn60958979","ISPY2_327917.nii.gz","1","application/gzip","4722","3505996","1718280493839","3505996","1718280493839","syn60958853","https://www.synapse.org/#!Synapse:syn60958979.1","07afff91354201884aa4257c1b91e302"
"syn60960391","ISPY1_1042.nii.gz","1","application/gzip","4769","3505996","1718282377985","3505996","1718282377985","syn60958853","https://www.synapse.org/#!Synapse:syn60960391.1","51743e21dd5f4d52dc900bce9d300e4d"
"syn60959887","ISPY1_1137.nii.gz","1","application/gzip","4783","3505996","1718281404639","3505996","1718281404639","syn60958853","https://www.synapse.org/#!Synapse:syn60959887.1","46c21d7e63b4f6c0e2d3e1e2ce505013"
"syn60959313","ISPY1_1013.nii.gz","1","application/gzip","4805","3505996","1718280779913","3505996","1718280779913","syn60958853","https://www.synapse.org/#!Synapse:syn60959313.1","02ce5ded82cc0ac0120a3cd0f14ee17b"
"syn60958908","ISPY1_1127.nii.gz","1","application/gzip","4818","3505996","1718280437421","3505996","1718280437421","syn60958853","https://www.synapse.org/#!Synapse:syn60958908.1","dfde85986fc64990b85577e4879b5d3c"
"syn60959348","ISPY1_1239.nii.gz","1","application/gzip","4847","3505996","1718280810249","3505996","1718280810249","syn60958853","https://www.synapse.org/#!Synapse:syn60959348.1","30a96a9dbd1202c3c944349b8f0fc4c8"
"syn60959983","ISPY1_1146.nii.gz","1","application/gzip","4848","3505996","1718281587573","3505996","1718281587573","syn60958853","https://www.synapse.org/#!Synapse:syn60959983.1","ed7040b5fd680932eb1ee100269b77a8"
"syn60958932","ISPY2_324021.nii.gz","1","application/gzip","4893","3505996","1718280458097","3505996","1718280458097","syn60958853","https://www.synapse.org/#!Synapse:syn60958932.1","b3d7304c3a552b97004bf32c2a5a449c"
